Pig ID Numbers,Sow,Birth Room,DOB,Sex,Weight (Kg),Cassette #,Necropsy day ,Control/treatment,OTC/RS expt,Pen ,Notes
1,1208,1,1/29/2016,M,5.6,16:74,4,Control diet ,OTC,1A,
2,1211,2,1/30/2013,M,3,16:75,4,Control diet ,OTC,1A,
3,1207,2,1/28/2016,M,8.3,16:76,4,Control diet ,OTC,1A,
4,1212,3,1/31/2016,M,4.7,16:77,4,Control diet ,OTC,1A,
5,1209,3,1/30/2016,M,7.6,16:78,4,Control diet ,OTC,1B,
6,1215,4,1/27/2016,F,4.3,16:79,4,Control diet ,OTC,1B,room 4 scours/vomit
7,1214,4,1/30/2016,F,3.4,16:80,4,Control diet ,OTC,1B,room 4 scours/vomit
8,1210,5,1/27/2016,M,5.8,16:81,4,IM - OTC,OTC,2A,
9,1213,5,1/29/2016,F,5,16:82,4,IM - OTC,OTC,2A,
10,1208,1,1/29/2016,M,2.7,16:83,4,IM - OTC,OTC,2A,
11,1211,2,1/30/2013,F,4.6,16:84,4,IM - OTC,OTC,2A,
12,1207,2,1/28/2016,F,7.8,16:85,4,IM - OTC,OTC,2B,
13,1212,3,1/31/2016,F,5,16:86,4,IM - OTC,OTC,2B,
14,1209,3,1/30/2016,F,4.3,16:87,4,IM - OTC,OTC,2B,
15,1215,4,1/27/2016,F,6.1,16:88,4,In-feed -OTC,OTC,3A,room 4 scours/vomit
16,1214,4,1/30/2016,F,3.2,16:89,4,In-feed -OTC,OTC,3A,room 4 scours/vomit
17,1210,5,1/27/2016,M,3.4,16:90,4,In-feed -OTC,OTC,3A,
18,1213,5,1/29/2016,M,4.7,16:91,4,In-feed -OTC,OTC,3A,
19,1208,1,1/29/2016,F,5,16:92,4,In-feed -OTC,OTC,3B,
20,1211,2,1/30/2013,M,4.5,16:93,4,In-feed -OTC,OTC,3B,
21,1207,2,1/28/2016,M,7.6,16:94,4,In-feed -OTC,OTC,3B,
22,1212,3,1/31/2016,M,5.6,16:95,7,Control diet ,OTC,1A,
23,1209,3,1/30/2016,F,7.1,16:96,7,Control diet ,OTC,1A,
24,1215,4,1/27/2016,M,6.6,16:97,7,Control diet ,OTC,1A,room 4 scours/vomit
25,1214,4,1/30/2016,M,5.3,16:98,7,Control diet ,OTC,1B,room 4 scours/vomit
26,1210,5,1/27/2016,F,4.6,16:99,7,Control diet ,OTC,1B,
27,1213,5,1/29/2016,M,4.6,16:100,7,Control diet ,OTC,1B,
28,1211,2,1/30/2013,F,3.6,16:101,7,Control diet ,OTC,1B,
29,1212,3,1/31/2016,F,5.6,16:102,7,IM - OTC,OTC,2A,
30,1214,4,1/30/2016,M,4.6,16:103,7,IM - OTC,OTC,2A,room 4 scours/vomit
31,1210,5,1/27/2016,F,3.3,16:104,7,IM - OTC,OTC,2A,
32,1213,5,1/29/2016,F,5,16:105,7,IM - OTC,OTC,2B,
33,1208,1,1/29/2016,F,6.7,16:106,7,IM - OTC,OTC,2B,
34,1207,2,1/28/2016,M,7.5,16:107,7,IM - OTC,OTC,2B,
35,1209,3,1/30/2016,F,6.5,16:108,7,IM - OTC,OTC,2B,
36,1215,4,1/27/2016,M,6.2,16:109,7,In-feed -OTC,OTC,3A,room 4 scours/vomit
37,1208,1,1/29/2016,M,6.8,16:110,7,In-feed -OTC,OTC,3A,
38,1211,2,1/30/2013,M,4.9,16:111,7,In-feed -OTC,OTC,3A,
39,1207,2,1/28/2016,M,6,16:112,7,In-feed -OTC,OTC,3B,
40,1212,3,1/31/2016,M,4.3,16:113,7,In-feed -OTC,OTC,3B,
41,1214,4,1/30/2016,M,4.4,16:114,7,In-feed -OTC,OTC,3B,room 4 scours/vomit
42,1213,5,1/29/2016,F,5.7,16:115,7,In-feed -OTC,OTC,3B,
43,1206,1,1/31/2016,M,2.4,16:116,14,Control diet ,OTC,1A,Milk replacer
44,1212,3,1/31/2016,F,4.5,16:117,14,Control diet ,OTC,1A,
45,1209,3,1/30/2016,M,7.8,16:118,14,Control diet ,OTC,1A,
46,1215,4,1/27/2016,M,6.9,16:119,14,Control diet ,OTC,1A,room 4 scours/vomit
47,1214,4,1/30/2016,F,4.4,16:120,14,Control diet ,OTC,1B,room 4 scours/vomit
48,1210,5,1/27/2016,M,6.9,16:121,14,Control diet ,OTC,1B,
49,1213,5,1/29/2016,M,4.9,16:122,14,Control diet ,OTC,1B,
50,1211,2,1/30/2016,M,5.1,16:123,14,Control diet ,OTC,1B,
51,1208,1,1/29/2016,F,7.6,16:124,14,IM - OTC,OTC,2A,
52,1206,1,1/31/2016,F,3.8,16:125,14,IM - OTC,OTC,2A,Milk replacer
53,1212,3,1/31/2016,F,5.5,16:126,14,IM - OTC,OTC,2A,
54,1209,3,1/30/2016,M,7.2,16:127,14,IM - OTC,OTC,2A,
55,1215,4,1/27/2016,F,6.3,16:128,14,IM - OTC,OTC,2B,room 4 scours/vomit
56,1214,4,1/30/2016,M,6.4,16:129,14,IM - OTC,OTC,2B,room 4 scours/vomit
57,1210,5,1/27/2016,M,4.7,16:130,14,IM - OTC,OTC,2B,
58,1213,5,1/29/2016,M,3.7,16:131,14,IM - OTC,OTC,2B,
59,1208,1,1/29/2016,F,5.9,16:132,14,In-feed -OTC,OTC,3A,
60,1211,2,1/30/2013,M,5.4,16:133,14,In-feed -OTC,OTC,3A,
61,1206,1,1/31/2016,F,5.4,16:134,14,In-feed -OTC,OTC,3A,Milk replacer
62,Euthanized,Euthanized,Euthanized,Euthanized,Euthanized,16:135 ( EUTHANIZED) ,Euthanized,Euthanized,Euthanized,Euthanized,Euthanized
63,1215,4,1/27/2016,F,6.4,16:136,14,In-feed -OTC,OTC,3B,room 4 scours/vomit
64,1214,4,1/30/2016,F,4.2,16:137,14,In-feed -OTC,OTC,3B,room 4 scours/vomit
65,1210,5,1/27/2016,M,6.3,16:138,14,In-feed -OTC,OTC,3B,
66,1213,5,1/29/2016,M,4.9,16:139,14,In-feed -OTC,OTC,3B,
67,1211,2,1/30/2013,F,4,16:140,21,Control diet ,RS,4A,
68,1214,4,1/30/2016,M,5.6,16:141,21,Control diet ,RS,4A,room 4 scours/vomit
69,1213,5,1/29/2016,M,5,16:142,21,Control diet ,RS,4A,
70,1210,5,1/27/2016,F,5.9,16:143,21,Control diet ,RS,4A,
71,1209,3,1/30/2016,F,7,16:144,21,Control diet ,RS,4B,
72,1207,2,1/28/2016,F,8.5,16:145,21,Control diet ,RS,4B,
73,1211,2,1/30/2013,M,3.7,16:146,21,Control diet ,RS,4B,
74,1211,2,1/30/2013,F,3.2,16:147,21,RS-DIET,RS,5A,
75,1214,4,1/30/2016,M,5.4,16:148,21,RS-DIET,RS,5A,room 4 scours/vomit
76,1213,5,1/29/2016,F,4.4,16:149,21,RS-DIET,RS,5A,
77,1210,5,1/27/2016,M,6.1,16:150,21,RS-DIET,RS,5A,
78,1209,3,1/30/2016,F,7,16:151,21,RS-DIET,RS,5B,
79,1214,4,1/30/2016,F,5.6,16:152,21,RS-DIET,RS,5B,room 4 scours/vomit
80,1211,2,1/30/2013,F,4.5,16:153,21,RS-DIET,RS,5B,
81,1212,3,1/31/2016,F,4.9,16:154,42,Control diet ,RS,4A,
82,1215,4,1/27/2016,M,6,16:155,42,Control diet ,RS,4A,room 4 scours/vomit
83,1210,5,1/27/2016,F,6.3,16:156,42,Control diet ,RS,4A,
84,1213,5,1/29/2016,F,5.5,16:157,42,Control diet ,RS,4A,
85,1211,2,1/30/2013,M,4.7,16:158,42,Control diet ,RS,4B,baytril
86,1214,4,1/30/2016,F,4.8,16:159,42,Control diet ,RS,4B,room 4 scours/vomit
87,1208,1,1/29/2016,F,6.4,16:160,42,Control diet ,RS,4B,
88,1207,2,1/28/2016,M,3.8,16:161,42,Control diet ,RS,4B,
89,1212,3,1/31/2016,M,2.6,16:162,42,RS-DIET,RS,5A,Baytril
90,1215,4,1/27/2016,M,7.3,16:163,42,RS-DIET,RS,5A,room 4 scours/vomit
91,1210,5,1/27/2016,M,6.7,16:164,42,RS-DIET,RS,5A,
92,1213,5,1/29/2016,F,4.6,16:165,42,RS-DIET,RS,5A,
93,1211,2,1/30/2013,M,4.5,16:166,42,RS-DIET,RS,5B,
94,1214,4,1/30/2016,M,5.3,16:167,42,RS-DIET,RS,5B,room 4 scours/vomit
95,1208,1,1/29/2016,M,7.2,16:168,42,RS-DIET,RS,5B,
96,1207,2,1/28/2016,M,7.8,16:169,42,RS-DIET,RS,5B,
